,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
width,1030.0,292.7640776699029,89.20166204743643,80.0,263.0,300.0,300.0,768.0,7956.9365120250595,3.557254746528662,16.76392191280771
height,1030.0,260.84466019417476,74.55393196380993,103.0,212.25,265.5,300.0,889.0,5558.2887712644,2.4640770303898147,14.832922232437763
aspect_ratio,1030.0,1.1844349130267418,0.3789345260546061,0.2666666666666666,0.8875000000000001,1.1583011583011582,1.4687948350071736,2.912621359223301,0.14359137503622896,0.6904694908803362,1.117816424031112
total_pixels,1030.0,79331.0213592233,58388.09095064313,20736.0,60000.0,68700.0,80700.0,622300.0,3409169164.860574,5.224540526399902,29.388391801565657
mean_luminance,1030.0,133.43895267005107,51.85383340953578,6.873215675354004,96.5994815826416,129.0580596923828,171.7668914794922,249.1239013671875,2688.820039263889,0.08518518827505943,-0.6168231336769301
std_luminance,1030.0,61.10827805972794,18.798449564004326,7.264734268188477,48.39750099182129,60.62813377380371,72.8370361328125,118.74551391601562,353.3817060104144,0.22213856267758458,-0.1231049132658324
min_luminance,1030.0,3.6762543588876726,10.874346550189307,0.0,0.0,0.0,1.5814999639987946,120.94400024414062,118.25141289361407,5.692368793902308,43.41331068002464
max_luminance,1030.0,250.7309698604843,13.753978981097513,51.569000244140625,253.40399169921875,255.0,255.0,255.0,189.17193781247218,-6.389384619441998,59.78354491276018
median_luminance,1030.0,140.15935020122714,72.4503937128524,0.0,89.42549705505371,129.08724975585938,199.12251281738284,255.0,5249.059549147323,0.10910752758514382,-0.9136718578398395
dark_pixel_ratio,1030.0,0.16245377963045746,0.19514459663926004,0.0,0.024661723719843275,0.09032905380097381,0.22102631886087765,0.99932861328125,0.038081413597499496,1.8380660917371978,3.16403796407959
bright_pixel_ratio,1030.0,0.23097271665141506,0.27498793761062484,0.0,0.016327236080922923,0.0875726045952062,0.4257039007092199,0.9662132352941176,0.07561836583134489,1.0490473787710388,-0.30854542047555844
luminance_range,1030.0,247.05471550159663,19.018950363390466,26.80999755859375,248.923995167017,254.13099268078804,255.0,255.0,361.72047292511036,-5.1798930597008,39.32334558055278
rms_contrast,1030.0,0.554926458466659,0.3813166293667807,0.0888076016288863,0.3512716993353551,0.4734911111294954,0.6333176412423231,5.301428418748456,0.14540237183164278,4.121873629294862,30.977771538827565
michelson_contrast,1030.0,0.9732774896726899,0.07434695063227101,0.108213915036851,0.9873693684922772,0.9999999959758459,0.9999999960784314,0.9999999960784314,0.0055274690683173415,-5.141170622664828,36.48363820153749
p10_luminance,1030.0,50.68212343808806,45.48732150870632,0.0,17.139999866485596,42.13399887084961,71.99324989318848,255.0,2069.096418036417,1.454565456913862,2.9596930397374033
p90_luminance,1030.0,203.51054883975428,48.019223293903224,4.0,171.039306640625,211.87479400634766,251.63150405883792,255.0,2305.845805749738,-0.7818339918163014,0.07683377708385386
iqr_luminance,1030.0,84.20295632860615,52.0357199946197,0.0,45.46526050567627,77.94399070739746,116.74873733520508,251.0,2707.7161553584638,0.5455327817792098,-0.10422978484648437
shannon_entropy,1030.0,6.328906774437526,1.4462446885983193,0.8440578215527945,5.599659821910143,6.864502557873579,7.407562070408353,7.955510501299994,2.0916236992988497,-1.2849119270947602,0.9238946230399603
shannon_entropy_y,1030.0,6.328906774437526,1.4462446885983193,0.8440578215527945,5.599659821910143,6.864502557873579,7.407562070408353,7.955510501299994,2.0916236992988497,-1.2849119270947602,0.9238946230399603
sobel_edge_density,1030.0,0.4913070334268551,0.21359262481380245,0.0,0.3285158033675799,0.46699264286296566,0.6546729933611122,0.977464114832536,0.045621809374849775,0.23302815985721048,-0.7926590304705954
mean_edge_magnitude,1030.0,80.35972366347475,38.64059763706102,0.4325000345706939,53.32631206512451,73.84449005126953,100.05161666870117,302.6428527832031,1493.0957857492458,1.1919457371922604,2.567487640993905
std_edge_magnitude,1030.0,118.48631073896168,47.594290985520225,1.3068857192993164,85.71304893493652,110.56545639038086,143.2995376586914,371.54150390625,2265.2165344143714,1.1092759904094442,2.2645494412978016
laplacian_variance,1030.0,4168.977147500203,6564.261239579189,0.1711644530296325,986.8183746337891,2255.356689453125,4724.4815673828125,81263.5625,43089525.621441714,5.6239959330685325,47.26392218852419
local_variance_mean,1030.0,843.5313801478994,662.2466437552295,1.7462298274040222e-10,412.1265335083008,683.6322937011719,1090.1447448730469,5370.56787109375,438570.6171650657,2.4517138311618427,9.816557883244203
local_variance_std,1030.0,1372.0950968991187,861.4433942579312,8.231806208902626e-11,771.8493804931641,1154.4462280273438,1800.4861450195312,6070.66015625,742084.7215106256,1.642610720945176,4.25461755257316
glcm_contrast,1030.0,2.4870765553681347,2.880556300560381,0.0032594524119947,0.9415995015681642,1.6907671400809492,2.906041460768497,31.583902452416332,8.297604600698108,4.4083320629112075,29.85894299331891
glcm_homogeneity,1030.0,0.7844165665787151,0.11093291594491035,0.3020134696089258,0.7205782994982596,0.8064518861251135,0.8629993876844165,0.9991525423728812,0.012306111840040544,-1.0205514570171026,1.222603749445141
noise_estimate,1030.0,5.384875623971715,5.574901597677968,8.322043538009737e-09,1.9261178376714714,3.6035087890965123,6.829198838590034,44.356754547690755,31.079527823792358,2.7841735619765307,10.739938092352247
dark_chroma_variance,1030.0,34.561232367221116,66.74867839404989,0.0,4.7386199831962585,15.441974520683289,35.82828736305237,1175.7036247253418,4455.386067352302,7.279071416352195,93.2099219057069
mean_r,1030.0,139.1433959516507,53.359629042782196,6.873215675354004,99.9488582611084,133.11984252929688,179.4655303955078,253.0992889404297,2847.250011583325,0.0031555702797297536,-0.6587981430503125
mean_g,1030.0,132.2473600424609,52.90678505005833,6.873215675354004,95.0654411315918,127.45135498046875,171.06046295166016,249.07150268554688,2799.1279043330755,0.045464248865055366,-0.6183831098343364
mean_b,1030.0,124.61295258975723,55.91657405493488,6.17509651184082,82.2964973449707,119.49386978149414,168.6792106628418,249.5138397216797,3126.6632540410164,0.10695923035714099,-0.8035479941491745
std_r,1030.0,62.85734705462039,19.700511231679588,6.022512435913086,48.77193355560303,63.30703926086426,75.29333686828613,118.83732604980467,388.11014278953354,0.10427182068308848,-0.21045192747897623
std_g,1030.0,62.432743724341535,19.368277574067484,10.872764587402344,48.45156383514404,61.71257781982422,75.30912590026855,118.71034240722656,375.1301761861254,0.234256665096926,-0.20001130030807523
std_b,1030.0,62.389310024779974,21.521832052666802,10.829025268554688,46.44725704193115,61.3475227355957,77.39225006103516,118.8581771850586,463.1892549031962,0.18870669528362796,-0.5049985940020854
mean_u,1030.0,123.01918873462863,11.935250360744616,80.42176055908203,117.05144119262695,124.34293365478516,128.0,200.85299682617188,142.45020117365448,0.3954810107579308,4.0395278333717926
mean_v,1030.0,132.06878651368964,11.913429637075001,61.61637496948242,127.53653335571289,130.3936767578125,136.32458877563477,205.5949859619141,141.92980571753702,0.8270105363715421,7.418319032655086
std_u,1030.0,10.331375560341675,8.219234078139463,0.0,4.889724850654602,8.703536033630371,13.63780474662781,59.79676055908203,67.55580883124908,1.6362462598249374,4.10111046116068
std_v,1030.0,10.330590605318566,9.270147311674688,1.8416034208712517e-07,4.285677552223206,7.868489027023315,13.468139648437498,66.87789154052734,85.93563118014943,1.9184800699951854,5.273121275804627
colorfulness,1030.0,38.94433751349671,29.615152783230787,0.0,18.706539116997433,34.21401309941117,52.14804831629817,204.81980510480636,877.0572743741022,1.3410067071622354,2.7258107808578087
