image_id,split,codec,is_lossy,quality,raw_bytes,compressed_bytes,compression_ratio,encode_time_ms,decode_time_ms,mse,psnr,ssim,dark_ssim,dark_psnr,banding_score,edge_preservation
caltech_BACKGROUND_Google_006,train,png,False,,1866900,573329,3.2562455413907196,39.142875000834465,13.85074993595481,0.0,inf,1.0,1.0,100.0,0.8485198046024366,1.0
caltech_BACKGROUND_Google_006,train,webp_lossless,False,100.0,1866900,226852,8.229594625570856,341.27912507392466,14.054124942049384,0.0,inf,1.0,1.0,100.0,0.8485198046024366,1.0
caltech_BACKGROUND_Google_006,train,jpeg,True,50.0,1866900,113728,16.415482554867754,7.119000074453652,6.1804590513929725,115.43820343885584,27.507308016412967,0.9410529150918828,0.9811966423898474,23.28427755563905,0.9150500461891564,0.9951476235044728
caltech_BACKGROUND_Google_006,train,jpeg,True,75.0,1866900,153680,12.147969807391984,7.4029999086633325,6.025749957188964,1.1240977020729552,47.62276300856296,0.9992082240672318,0.9998826823580612,46.348381239446105,0.8693539130697435,1.0022856133424034
caltech_BACKGROUND_Google_006,train,jpeg,True,85.0,1866900,184761,10.104405150437591,7.4899999890476465,6.74849993083626,8.766827896512936,38.702378799584224,0.9939963987222132,0.9986546598843118,35.421299895137,0.8592779172138577,0.997406603640556
caltech_BACKGROUND_Google_006,train,jpeg,True,95.0,1866900,274114,6.810670013206185,8.246209006756544,10.836375062353907,1.3557014301783703,46.8091630666388,0.9987118154634326,0.9998021957215414,43.884207633853975,0.8479183416234491,0.9980800847923812
caltech_BACKGROUND_Google_007,train,png,False,,79200,53491,1.480622908526668,13.741499977186322,6.8789999932050705,0.0,inf,1.0,1.0,100.0,0.0205164992826398,1.0
caltech_BACKGROUND_Google_007,train,webp_lossless,False,100.0,79200,42340,1.8705715635333016,123.04970901459455,1.644458039663732,0.0,inf,1.0,1.0,100.0,0.0205164992826398,1.0
caltech_BACKGROUND_Google_007,train,jpeg,True,50.0,79200,7747,10.223312249903188,0.5089170299470425,0.7170829921960831,71.44647727272728,29.590995404593492,0.9091895583517728,0.9341403344622966,30.965004179955944,0.0382978723404255,1.0613909001215251
caltech_BACKGROUND_Google_007,train,jpeg,True,75.0,79200,10233,7.739665787159191,0.5525000160560012,2.0609169732779264,11.960580808080808,37.35328091280736,0.979628589594098,0.9875281363333468,39.26875768675601,0.0218795888399412,1.000116417738626
caltech_BACKGROUND_Google_007,train,jpeg,True,85.0,79200,12870,6.153846153846154,0.5615419941022992,0.8368330309167504,10.746704545454543,37.81805051698977,0.9820436981036924,0.9882873499105584,39.86240888770144,0.0200626959247648,1.0096644558646246
caltech_BACKGROUND_Google_007,train,jpeg,True,95.0,79200,19778,4.004449388209121,0.4150420427322387,0.8107920875772834,3.3962247474747476,42.820839386132974,0.9928118860394444,0.99509902438242,44.25128061845907,0.02060800935399,1.0004787233611323
caltech_BACKGROUND_Google_001,train,png,False,,62640,42441,1.4759312928536086,20.29187500011176,1.2079590233042836,0.0,inf,1.0,1.0,100.0,0.0831358249772105,1.0
caltech_BACKGROUND_Google_001,train,webp_lossless,False,100.0,62640,35338,1.772596072216877,124.42749994806944,1.4200410805642605,0.0,inf,1.0,1.0,100.0,0.0831358249772105,1.0
caltech_BACKGROUND_Google_001,train,jpeg,True,50.0,62640,6562,9.545870161536117,0.3614580491557717,0.56312489323318,85.80670498084291,28.795591356950993,0.9014799883978972,0.9074370646135106,23.758751196480855,0.1489067257127041,1.0335029287415525
caltech_BACKGROUND_Google_001,train,jpeg,True,75.0,62640,9094,6.888058060259512,0.6015419494360685,1.0042079957202077,14.163729246487868,36.61902744665497,0.9767203635880088,0.9821886622403796,34.55535648175884,0.0735930735930736,1.0010263918455784
caltech_BACKGROUND_Google_001,train,jpeg,True,85.0,62640,11466,5.463108320251178,0.3627080004662275,0.8822910021990538,13.606273946360153,36.79341150145548,0.9783331937187404,0.9853008122902076,34.89343878628005,0.0670470756062767,1.01026095229112
caltech_BACKGROUND_Google_001,train,jpeg,True,95.0,62640,17926,3.494365725761464,0.37379190325737,0.7400000467896461,4.617145593869732,41.487067913595936,0.9909174443617572,0.9944665126050044,39.60235502618664,0.0522539098436062,0.9991513802898953
caltech_BACKGROUND_Google_008,train,png,False,,503094,196689,2.5578146210515076,20.42058401275426,3.397500026039779,0.0,inf,1.0,1.0,100.0,0.492766364817474,1.0
