image_id,split,codec,is_lossy,quality,raw_bytes,compressed_bytes,compression_ratio,encode_time_ms,decode_time_ms,mse,psnr,ssim,dark_ssim,dark_psnr,banding_score
kodim17,train,png,False,,1179648,533799,2.2099104719192058,24.923040997236967,5.891749984584749,0.0,inf,1.0,1.0,100.0,0.47721517740139713
kodim17,train,webp_lossless,False,100.0,1179648,484768,2.4334279490395407,451.8207910005003,6.302124937064946,0.0,inf,1.0,1.0,100.0,0.47721517740139713
kodim17,train,jpeg,True,50.0,1179648,54260,21.74065610025802,2.4545829510316253,1.9569579744711518,241.01031155056424,24.310447367423855,0.7092230413394803,0.45636612000744375,19.6449139162607,0.8141945572397791
kodim17,train,jpeg,True,75.0,1179648,123922,9.519278255676959,2.557417028583586,2.8820839943364263,163.08617655436197,26.006632097637787,0.8501635988690946,0.7261595074777734,22.785036274505046,0.5752782009503727
kodim17,train,jpeg,True,85.0,1179648,184859,6.381339291027215,2.776790992356837,3.270499990321696,75.32523006863065,29.361398940388227,0.9305920467256037,0.8782180547527746,26.895069964785957,0.5881780187845469
kodim17,train,jpeg,True,95.0,1179648,328005,3.596432981204555,3.4107910469174385,4.575041006319225,9.13133324517144,38.5254616835572,0.9892709227323593,0.983628320596722,35.863935608617965,0.5371503216424716
kodim17,train,webp_lossy,True,50.0,1179648,37744,31.253921153030944,32.45137503836304,5.55658305529505,237.6847407023112,24.37079059836012,0.7247430298946954,0.4847501856730916,20.434804672466488,0.6227591852936069
kodim17,train,webp_lossy,True,75.0,1179648,55284,21.337963967874973,35.64758296124637,6.477707996964455,208.33145819769965,24.9432550719417,0.7574082838789322,0.5445825937772197,20.79942820616013,0.6357112726731347
kodim17,train,webp_lossy,True,85.0,1179648,82446,14.30812895713558,40.37954204250127,8.520749979652464,184.6577207777235,25.467128900882685,0.7810894409652539,0.5903901519745154,21.364139596108927,0.6399484561531702
kodim17,train,webp_lossy,True,95.0,1179648,129396,9.116572382453862,46.08200001530349,12.368540978059173,174.34049055311414,25.71682097214072,0.790334887869319,0.6072361089658405,21.504854637921635,0.6168834365492729
kodim16,train,png,False,,1179648,533590,2.210776064019191,18.507750006392598,5.815000040456653,0.0,inf,1.0,1.0,100.0,0.4773615498726017
kodim16,train,webp_lossless,False,100.0,1179648,484682,2.4338597265836155,358.7447500322014,7.120124995708466,0.0,inf,1.0,1.0,100.0,0.4773615498726017
kodim16,train,jpeg,True,50.0,1179648,54089,21.809388230508976,2.4075000546872616,1.9706670427694917,239.8368437025282,24.33164460722257,0.7090747609542616,0.46288933087349415,19.549900411348617,0.8137991882830422
kodim16,train,jpeg,True,75.0,1179648,123784,9.529890777483358,2.5307919131591916,2.7607090305536985,163.1370595296224,26.005277307842746,0.8501053213800217,0.7286102235164008,22.75826852421328,0.575891932836763
kodim16,train,jpeg,True,85.0,1179648,184853,6.381546417964545,2.7411249466240406,3.21945792529732,75.24771711561415,29.36587032138651,0.9303727854938398,0.8780347747688376,26.93519195590442,0.5889123326300211
kodim16,train,jpeg,True,95.0,1179648,327939,3.597156788305142,3.4567920956760645,4.6301670372486115,9.147822062174479,38.51762652481004,0.9892207013688331,0.9835622416093623,35.9580598663456,0.537515599642873
kodim16,train,webp_lossy,True,50.0,1179648,37714,31.278782415018295,32.078958000056446,5.683541996404529,237.61133744981555,24.372132020232982,0.7244231952567423,0.4883974468149357,20.121942568027404,0.651631335125537
kodim16,train,webp_lossy,True,75.0,1179648,54476,21.654453337249432,35.21933301817626,6.5908749820664525,209.57172054714627,24.91747681978569,0.7549166594595901,0.5435305866391975,20.624810201990197,0.6353863570910752
kodim16,train,webp_lossy,True,85.0,1179648,81552,14.46497939964685,39.80287490412593,8.595208055339754,185.2189415825738,25.45394962732876,0.7797265764750926,0.590751976952895,21.095237934694403,0.6496045108475614
kodim16,train,webp_lossy,True,95.0,1179648,127834,9.227967520377991,45.6477920524776,12.002417002804577,173.99313354492188,25.725482512197466,0.7901954995784028,0.6099591583155008,21.23019895018451,0.6472960198515075
kodim19,train,png,False,,1179648,533549,2.2109459487319816,18.469208967871964,5.729625001549721,0.0,inf,1.0,1.0,100.0,0.4773539253031878
kodim19,train,webp_lossless,False,100.0,1179648,484538,2.434583046118158,383.29204195179045,6.8699580151587725,0.0,inf,1.0,1.0,100.0,0.4773539253031878
kodim19,train,jpeg,True,50.0,1179648,53900,21.885862708719852,2.2854580311104655,1.958209089934826,239.77658420138889,24.332735918159347,0.7077234519285419,0.45276834268917704,19.474604230568424,0.8135401860868338
kodim19,train,jpeg,True,75.0,1179648,123656,9.539755450604904,2.7041250141337514,2.9364159563556314,163.00161488850912,26.008884538032518,0.8497454441324153,0.7256212672462363,22.779146460835445,0.5748836834172627
kodim19,train,jpeg,True,85.0,1179648,184811,6.3829966830978675,2.8536670142784715,3.2853749580681324,75.16028934054904,29.37091917555947,0.9302613457326153,0.8764139615382628,26.908889436884415,0.5887904189222287
kodim19,train,jpeg,True,95.0,1179648,327903,3.597551714988884,3.3986250637099147,4.546541022136807,9.161610073513454,38.51108557004041,0.9891916754129392,0.983313582604338,36.145522299091155,0.5374766341311843
kodim19,train,webp_lossy,True,50.0,1179648,37546,31.41873967932669,32.169834012165666,4.938332946039736,236.94938066270618,24.384247829880955,0.7250350934919788,0.4835859750722039,20.264094753273515,0.6226999950404206
kodim19,train,webp_lossy,True,75.0,1179648,54426,21.67434681953478,35.04070802591741,6.044792011380196,208.8254157172309,24.93297006221502,0.7552352687125411,0.5391876851856668,20.57552758992316,0.6287692429773052
kodim19,train,webp_lossy,True,85.0,1179648,81588,14.458596852478305,40.54229101166129,7.988209021277726,184.52484724256726,25.470255063957524,0.7804416935053152,0.5885994230885588,21.20221754558945,0.645721423493167
kodim19,train,webp_lossy,True,95.0,1179648,128328,9.192444361324107,53.34470805246383,11.656166985630989,173.39966837565103,25.74032098308818,0.7907301130540162,0.6078292335601749,21.299865768219558,0.6480844298083691
kodim20,train,png,False,,1179648,533657,2.2104985037205545,18.2345830835402,5.518916994333267,0.0,inf,1.0,1.0,100.0,0.47736177301154703
kodim20,train,webp_lossless,False,100.0,1179648,484712,2.433709089108584,351.1959579773247,6.837625056505203,0.0,inf,1.0,1.0,100.0,0.47736177301154703
kodim20,train,jpeg,True,50.0,1179648,53935,21.871660331880967,2.4190000258386135,1.9171669846400619,240.27726576063367,24.32367679626159,0.7087117198529046,0.4575190780165632,19.59871104347426,0.813721239741082
kodim20,train,jpeg,True,75.0,1179648,123913,9.519969656129703,2.5127080734819174,2.8207499999552965,162.82398902045355,26.013619705622567,0.8503955614058724,0.7295682173760912,22.747756261530462,0.5757893992790136
kodim20,train,jpeg,True,85.0,1179648,184833,6.382236938209086,2.7864580042660236,3.247415996156633,75.03984069824219,29.377884574578275,0.9306089212396133,0.8784484896218306,26.888808435996012,0.5886277096513057
kodim20,train,jpeg,True,95.0,1179648,327832,3.5983308523878086,3.416124964132905,4.638875019736588,9.145687527126736,38.518640017374,0.9892208454057837,0.9837702703064397,35.96763025929792,0.5374286193326956
kodim20,train,webp_lossy,True,50.0,1179648,37582,31.388643499547655,31.79024998098612,5.359458038583398,237.34674241807727,24.376970854605172,0.724871052751586,0.48402259524250646,20.343910505079812,0.6497643087629555
kodim20,train,webp_lossy,True,75.0,1179648,54634,21.591829263828384,35.90937494300306,6.348291994072497,209.3034676445855,24.923039372763167,0.7550799599198404,0.5400463201583335,20.744987588790895,0.6358480454910834
kodim20,train,webp_lossy,True,85.0,1179648,81556,14.464269949482564,39.835958974435925,8.364374982193112,185.05846405029297,25.457714075822913,0.7801364686314533,0.5895788105297948,21.332112117572436,0.640221648237136
kodim20,train,webp_lossy,True,95.0,1179648,127966,9.218448650422769,46.14275007043034,12.486624997109175,173.7792722913954,25.73082386605122,0.7906447467193427,0.609283654586211,21.438869875147684,0.6488748134539706
kodim10,train,png,False,,1179648,602278,1.9586436828175693,33.183959079906344,9.900584002025425,0.0,inf,1.0,1.0,100.0,0.01588009584098174
kodim10,train,webp_lossless,False,100.0,1179648,440256,2.6794592237243786,1579.0258750785142,10.8946249820292,0.0,inf,1.0,1.0,100.0,0.01588009584098174
kodim10,train,jpeg,True,50.0,1179648,40847,28.879672925796264,2.318291924893856,1.9285830203443766,22.27669440375434,34.652296137161635,0.9073515319307722,0.9128628938563013,33.3977616382259,0.27399725449029266
kodim10,train,jpeg,True,75.0,1179648,61566,19.160705584251048,2.2762500448152423,1.9760829163715243,12.685452779134115,37.09774387854101,0.9350710731917197,0.9453871801642951,36.05338726731482,0.06826951276315563
kodim10,train,jpeg,True,85.0,1179648,86229,13.68040914309571,2.3991249036043882,2.312124939635396,8.224334716796875,38.97979583791154,0.9508158984606666,0.9635038860009848,38.19740280878199,0.01078077728647894
kodim10,train,jpeg,True,95.0,1179648,170381,6.923588897823114,2.7917500119656324,3.088291035965085,3.3885794745551214,42.83062684981882,0.9740044265625166,0.9852882216919344,42.89216299090125,0.0038307546347954246
kodim10,train,webp_lossy,True,50.0,1179648,22186,53.17082845037411,32.81858400441706,4.181583994068205,21.776261223687065,34.750970432674045,0.9089663688454225,0.9112894725891967,33.70635729781084,0.1762447791589884
kodim10,train,webp_lossy,True,75.0,1179648,30848,38.24066390041494,35.57120799086988,4.423124948516488,15.30952877468533,36.28118537491885,0.9263897052535089,0.9345349293999322,35.417077839657736,0.16698151333164163
kodim10,train,webp_lossy,True,85.0,1179648,51148,23.0634237897865,41.06674995273352,5.871457979083061,8.872347513834635,38.65041816862849,0.9487634728471214,0.964095919868911,38.18225937438661,0.11366811412201998
kodim10,train,webp_lossy,True,95.0,1179648,124208,9.497359268324102,54.4157091062516,10.537374997511506,3.5997212727864585,42.56811486316492,0.9778167293730348,0.9857321201590769,42.691563912491794,0.011954800376266625
kodim08,train,png,False,,1179648,773497,1.5250841309016065,32.59187506046146,11.895249946974218,0.0,inf,1.0,1.0,100.0,0.04468102430484876
kodim08,train,webp_lossless,False,100.0,1179648,551410,2.1393300810649065,765.1660830015317,12.634625076316297,0.0,inf,1.0,1.0,100.0,0.04468102430484876
kodim08,train,jpeg,True,50.0,1179648,78289,15.067863940017116,2.4882080033421516,2.4549170630052686,68.49217817518446,29.774393830881294,0.9073047531798709,0.9181642577257566,31.241594682442162,0.12399565226657573
kodim08,train,jpeg,True,75.0,1179648,116012,10.168327414405406,2.535250037908554,2.599458093754947,34.989349365234375,32.69144494112801,0.9428158529917776,0.950503637827635,33.974563288742004,0.03126318360459178
kodim08,train,jpeg,True,85.0,1179648,155600,7.581285347043702,2.669084002263844,3.2332499977201223,19.789219326443142,35.16651698996296,0.9623993137808945,0.9681364076299075,36.292204883442224,0.006126040014772011
kodim08,train,jpeg,True,95.0,1179648,274665,4.294861012506144,3.184999921359122,3.942708019167185,5.2154795328776045,40.957861154288,0.9875001201797438,0.9897664833334114,41.76004052876044,0.0026240609459316474
kodim08,train,webp_lossy,True,50.0,1179648,63922,18.454491411407652,43.2254170300439,6.906667025759816,43.98902808295356,31.69735994318943,0.9316537528362702,0.9454055044794812,33.03397946445781,0.10438866307810613
kodim08,train,webp_lossy,True,75.0,1179648,84274,13.99776918147946,46.94099992047995,8.231666055507958,27.364073859320747,33.75899606894519,0.9544261770364465,0.963623234990269,34.97432171284636,0.10090625365088372
kodim08,train,webp_lossy,True,85.0,1179648,121790,9.685918384103784,52.64383309986442,11.28249999601394,13.544019911024305,36.81332777311506,0.9766776750089825,0.9800206106004716,37.999277586553106,0.07106648660286145
kodim08,train,webp_lossy,True,95.0,1179648,202686,5.820076374293242,65.08412503171712,16.4504999993369,5.117245144314236,41.04044138292358,0.9912920885063867,0.9923213705553326,42.49749304113184,0.010024196335983409
kodim18,train,png,False,,1179648,533721,2.2102334365707925,18.200249993242323,5.578333046287298,0.0,inf,1.0,1.0,100.0,0.47713760781010645
kodim18,train,webp_lossless,False,100.0,1179648,484654,2.434000338385735,394.0992089919746,6.964333006180823,0.0,inf,1.0,1.0,100.0,0.47713760781010645
kodim18,train,jpeg,True,50.0,1179648,54128,21.793674253621045,2.3148750187829137,2.009583986364305,240.7170401679145,24.315735261435503,0.7087350747970428,0.45538860287100685,19.518987717472513,0.8131476732880266
kodim18,train,jpeg,True,75.0,1179648,123714,9.535282991415684,2.555999904870987,2.8027499793097377,163.2895253499349,26.00122034236733,0.8495811680687543,0.7235437585615587,22.82792837144507,0.5751838365090733
kodim18,train,jpeg,True,85.0,1179648,184839,6.382029766445393,2.8003340121358633,3.2339580357074738,75.15599229600694,29.371167476370715,0.9304591206974252,0.8767561319663069,26.724447872775787,0.5885889037132535
